country,year,Current account balance (% of GDP),Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),Energy use (kg of oil equivalent per capita),Exports of goods and services (% of GDP),GDP (current US$),GDP deflator (base year varies by country),GDP growth (annual %),GDP per capita growth (annual %),GNI per capita (constant 2015 US$),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Labor force participation rate, total (% of total population ages 15+) (national estimate)","Life expectancy at birth, total (years)",Poverty headcount ratio at national poverty lines (% of population),"Unemployment, total (% of total labor force) (national estimate)"
Argentina,2020 [YR2020],0.696935361136032,7.28575178937575,20.5458234470864,72.1684306274116,26.9885079767917,16.6054144372484,385740508436.965,4356.4191087013,-9.9004848136464,-10.7702732277494,11038.2418825806,13.5982843701675,26.9885079767917,56.023,75.892,42.0,11.461
Argentina,2021 [YR2021],1.36185053498969,7.33360756511422,20.1055159352886,72.5608764995971,26.9885079767917,17.9965879441795,487902572164.348,6701.93475654618,10.7180099337095,9.67392093465429,12186.8350395052,14.9334363103503,26.9885079767917,60.358,75.39,37.3,8.736
Argentina,2022 [YR2022],-0.679748558749122,7.2059057084887,19.9549046855485,72.8391896059628,26.9885079767917,16.2995616770379,631133384439.944,11357.8519058325,4.95636996008236,3.98913108450517,12685.8612212206,15.3509522986127,26.9885079767917,61.484,76.064,39.2,6.805
Argentina,2023 [YR2023],-3.35533220683048,26.9885079767917,26.9885079767917,26.9885079767917,26.9885079767917,12.9194246104445,640591410663.883,26559.1858237566,-1.55050153620256,-2.4362511141417,12337.2179846545,14.0523919218016,26.9885079767917,62.286,26.9885079767917,26.9885079767917,6.139
Australia,2000 [YR2000],-3.72140115832283,4.85744581654116,22.4184477835673,72.7241063998916,5680.90287554624,19.3902280759468,416167815092.908,51.6252825011705,3.92151782931303,2.73894429537623,41204.6901928194,21.5449829026037,4.45743514797224,63.147,79.2341463414634,26.9885079767917,6.288
Australia,2001 [YR2001],-2.1038782912626,4.75430110832152,21.5283106335394,73.7173882581391,5486.05610016985,22.1523263999819,379629301675.108,54.0159038742595,2.02512731541893,0.723531156716689,41681.6953995159,22.0663780990158,4.40713536201469,63.312,79.6341463414634,26.9885079767917,6.747
Australia,2002 [YR2002],-4.04312576822907,4.38212049899718,21.6857126094354,73.932177756338,5614.26334981772,20.7266612553969,395788696012.059,55.5501213157323,3.97963375579748,2.80352716038983,43022.7976559123,20.7224309468224,2.98157453936348,63.38,79.9365853658537,26.9885079767917,6.375
Australia,2003 [YR2003],-6.26582917008026,3.91311804319871,21.6459177946415,74.4409747878944,5618.08648429316,19.0572127285496,467739079790.332,57.2086367013505,3.09068718165635,1.91173867643482,43929.8326918762,21.1443541839952,2.73259596616786,63.6,80.2390243902439,26.9885079767917,5.933
Australia,2004 [YR2004],-6.71703905379547,3.73788984710175,21.9709477452854,74.2911519660256,5652.7633305677,17.1624682179729,614659980082.515,59.0577701836822,4.22432172716931,3.11589344319816,45904.8259859653,19.8471453750713,2.34325522482583,63.472,80.490243902439,26.9885079767917,5.399
Australia,2005 [YR2005],-6.23018337430443,3.57984629592202,21.7962046787152,74.6239490253628,5624.19201932671,18.224372786193,695692898676.56,61.3170305723149,3.15413925672789,1.90606523763795,47120.4563572703,20.9363741866049,2.69183168316832,64.41,80.8414634146341,26.9885079767917,5.036
Australia,2006 [YR2006],-6.18497324085113,3.41194726778349,21.9990301029602,74.5890127785856,5778.28181808136,19.8535392187758,748417562769.636,64.4536350499949,2.75529824273126,1.37798003366018,48609.1560304027,21.7059079518,3.55528773727026,64.777,81.0414634146342,26.9885079767917,4.785
